reference,hypothesis,scenario,wer,cer
लिबर ऑफिस impress में एक प्रस्तुति document बनाना और बुनियादी formatting के इस spoken tutorial में आपका स्वागत है,लिबर ऑफिस इंप्रेस में एक प्रस्तुति डॉक्यूमेंट बनाना और बुनियादी फॉर्मेटिंग के इस स्पोकन ट्यूटोरियल में आपका स्वागत,hi-en,0.3158,0.4457
इस tutorial में हम impress window के भागों के बारे में सीखेंगे और कैसे स्लाइड इन्सर्ट करें और कॉपी करें फॉन्ट तथा फॉन्ट को फॉर्मेट करना सीखेंगे,है इस टिटोरियल में हम इंप्रेस विंडो के भागों के बारे में सीखेंगे और कैसे स्लाइड इंसर्ट करें और कॉपी करें फॉट तथा फॉट को फॉर्मेट करना सीखेंगे,hi-en,0.2593,0.2549
यहाँ हम अपने ऑपरेटिंग सिस्टम के रूप में gnu/linux और लिबरऑफिस वर्जन 334 का उपयोग कर रहे हैं,यहां हम अपने ऑपरेटिंग सिस्टम के रूप में जेएनयू लिनक्स और लिबर ऑफिस वर्जन थ्री पॉइंट थ्री पॉवाइंट फोर का उपयोग कर रहे हैं,hi-en,0.5,0.3857
चलिए अपनी प्रस्तुति प्रेजैटेशन sample impress open करते हैं जिसे पिछले tutorial में बनाया था,हैं चलिए अपनी प्रस्तुति सैंपल इंप्रस ओपन करते हैं जिसे पिछले ट्यूटोरियल में,hi-en,0.5333,0.5714
चलिए देखते हैं कि screen पर क्या क्या है,बनाया था चलिए देखते हैं कि स्क्रीन पर क्या क्या है,hi-en,0.3333,0.4138
मध्य में हम खाली जगह देखते है जोकि workspace है जहाँ हम काम करेंगे,मध्य में हम खाली जगह देखते हैं जो कि वर्क स्पेस है जहां हम क,hi-en,0.4286,0.3061
जैसे कि आप देख सकते हैं workspace में 5 tabs हैं जिन्हें view buttons कहते हैं,काम करेंगे जैसे कि आप देख सकते हैं वर्क स्पेस में पांच टैब्स हैं यह,hi-en,0.6875,0.7167
फिलहाल normal टैब चुनित हैं,व्यू बटनस कहते हैं फिलहाल नॉर्मल टैइप चुनित है,hi-en,1.2,1.1
यह मुख्य view है अलगअलग slides बनाने के लिए,यह मुख्य व्यू है अलग अलग स्लाइड बनाने के लिए,hi-en,0.4444,0.3056
outline view प्रत्येक slide के outline format में विषय शीर्षक bulleted और क्रमांकित सूचियाँ बताता है,आउटलाइन व्यू प्रत्येक स्लाइड के आउटलाइन फॉर्मेट में विषय शीर्षक बुलेटेड और क्रमांकित सूचियां बताता है,hi-en,0.375,0.4625
