reference,hypothesis,scenario,wer,cer
स्थानीय कला रूप या शिल्प होसंगाबाद जिले के लिए एक,स्थानीय कला रूप या शिल्प होशंगाबाद ज़िले के लिए एक,Extempore,0.1,0.0303
अनोखे हैं ये कला के रूप में,अनोखे हैं य कला के रूप में,Extempore,0.0,0.0
काफ़ी महत्वपूर्ण दृश्य है यहाँ पे प्राचीन सांस्कृतिक,काफ़ी महत्वपूर्ण दृश्य है यहाँ परे प्राचीन सांस्कृतिक,Extempore,0.125,0.0312
धार्मिक ये एक धार्मिक स्थान भी जैसे होसंगाबाद जिले में पचमढ़ी एक ऐसा स्थान है जहाँ पे,धार्मिक अच धार्मिक स्थान भी जैसे ही होशंगाबाद ज़िले में पचमढ़ी एक ऐसा स्थान है जहाँ पे,Extempore,0.2353,0.125
धार्मिक स्थान है,धार्मिक स्थान है,Extempore,0.0,0.0
वहाँ पे धार्मिक भी है,वहाँ परे धार्मिक भी है,Extempore,0.2,0.0769
और धार्मिक के साथ वहाँ पर,और धार्मिक के साथ वहाँ पर,Extempore,0.0,0.0
काफ़ी दृश्यों का नजारा देखने को मिलता है जैसे कि वहाँ पर हाइवे पर हम हम लोगों को जाते समय हाइवे ये होसंगाबाद से लगभग,काफ़ी दृश्यों का नज़ारा देखने को मिलता है जैसे कि वहाँ पर हाईवे पर हम हम लोगों को जाते समय हाईवे ये होशंगाबाद से लगभग,Extempore,0.12,0.038
सौ किलोमीटर दूर स्थित है पचमढ़ी जिस पर हम नजारा देखते जाते हैं तो एक पहली बात करें तो ये जल बन,सौ किलोमीटर दूर स्थित है पचमढ़ी जिस पर हम नज़ारा देखते जाते हैं तो एक पहली बात करें तो जल बर्न,Extempore,0.0909,0.0441
प्राणियों के इसमें दर्शन भी होते हैं उसके साथ साथ,प्राणियों के इसमें दर्शन भी होते हैं उसके साथ साथ,Extempore,0.0,0.0
हम लोग रोड पर भी इसका नागिन मोड़ों का भी काफ़ी नजारा देखने को मिलता है,हम लोग रोड पर भी इसका नांगन मोड़ों का भी काफ़ी नज़ारा देखने को मिलता है,Extempore,0.0,0.0
फिर आगे बढ़ते जाएँ तो हम लोगों को वहाँ पर बहुत बड़े पहाड़ हैं,फिर आँघे बढ़ते जाएँ तो हम लोगों को वहाँ पर बहुत बड़े पहाड़ हैं,Extempore,0.0714,0.0244
उन पर भी प्राचीन मंदिर का भी हम लोगों को वहाँ पे दृश्य नजर आता है,उन पर भी प्राचीन मंदिर का भी हम लोगों को वहाँ पर दृश्य नजर आता है,Extempore,0.0625,0.0217
दूसरी बात हम लोग करें तो हमारे नर्मदापुरम जिले में जिले में,दूसरी बात हम लोग करें तो हमारे होस नर्मदापुर ज़िल में ज़िले में,Extempore,0.1667,0.1026
<unintelligible> टूरिस्ट मोटल मढ़ई के नाम से प्रसिद्ध है वहाँ पर भी हम लोग जाते हैं तो जंगल,वायर टूरिस्ट मोटल मड़ई के नाम से प्रसिद्ध है वहाँ पर भी हम लोग जाते हैं तो जंगल,Extempore,0.1111,0.2239
जल जंगल वन्य प्राणियों का नजारा देखने को मिलता है वहाँ पर काफ़ी बड़ा डैम भी है हमारे नर्मदापुरम जिले में,जल जंगल वन्य प्राणियों का नज़ारा देखने को मिलता है वहाँ पर काफ़ी बड़ा डैम भी है हमारे नर्मदापुरम ज़िले में,Extempore,0.0,0.0
जिसमें हमार गोट गोट का भी लोग नजारा लेते हैं सुविंग का,जिसमें हमारे गोट गोट का भी लोग नज़ारा लेते हैं शवविंग का,Extempore,0.0833,0.0571
और जिप्सी द्वारा भी काफ़ी सारे जैसे कि,और जिप्सी द्वारा भी काफ़ी सारे जैसे कि,Extempore,0.0,0.0
टाइगर वगैरह इनकी इन लोग इन जानवरों का भी हम नजारा देख पाते हैं,टाइगर वगैरह इनकी इन लोग इन जानवरों का भी हम नज़ारा देख पाते हैं,Extempore,0.0,0.0
ये काफ़ी यहाँ पर ये काफ़ी महत्वपूर्ण होता है डाइव के लिए और,ये काफ़ी यहाँ पर ये काफ़ी महत्वपूर्ण होता है लाइफ के लिए और,Extempore,0.0769,0.05
बात करें नर्मदापुरम में तो नर्मदा नदी भी एक ऐसी जीवन रेखा दायिनी है जो संस्कृतिक के लिए काफ़ी,बात करें नर्मदापुरम में तो नर्मदा नदी भी एक ऐसी जीवन रेखा दायिनी है जो सांस्कृतिक के लिए काफ़ी,Extempore,0.0,0.0
हाँ एक अच्छी मानी गई हैं,एक अच्छी मानी गई है,Extempore,0.1667,0.125
जौनपुर में फेमस शाही किला है रॉयल फोर्ट ने बनवाया था एक सौ बासठ में,जौनपुर में फेमस शाही किला है रॉयल फोर्ड ने बनवाया था एकस सौ बासठ में,Extempore,0.1333,0.0435
और वहाँ पर,और वहाँ पर,Extempore,0.0,0.0
लोग जाते हैं देखते हैं अच्छा है,लोग जाते हैं देखते हैं अच्छा है,Extempore,0.0,0.0
पुराने ने बनाए हैं वहाँ पर जाने से अच्छा लगता है देखने में और जौनपुर में चौकिया धाम मंदिर है वहाँ ढेर सारे श्रद्धालु जाते हैं,पुराने ने बनाया है वहाँ परे जाने से अच्छा लगता है देखने में और जौनपुर में चौकिया धाम मंदिर है वहाँ ढेर सारे श्रद्धालु जाते हैं,Extempore,0.0385,0.0123
कोई अपने बच्चे का मुंडन कराने जाते हैं ममता लेकर तो कोई दर्शन के लिए जाते हैं और कोई कोई घूमने के लिए जाते हैं और वहाँ पर ढेर सारी भीड़ रहती है ढेर सारे श्रद्धालु आते हैं और बहुत ही अच्छा लगता है दर्शन करने में,कोई अपने बच्चे का मुंडन कराने जाते हैं मनता ले कर तो कोई दर्शन के लिए जाते हैं और कोई कोई घूमने के लिए जाते हैं और वहाँ परे ढेर सारी भीड़ रहती है ढेर सारे श्रद्धालु आते हैं और बहुत ही अच्छा लगता है दर्शन करने में,Extempore,0.0638,0.0136
वहाँ पर हर चीज मिलती हैं,वहाँ परे हर चीज़ें मिलती हैं,Extempore,0.0,0.0
